timestep,person_id,from_location_id,from_location_type,to_location_id,to_location_type,movement_reason,person_age,person_sex,is_infectious,is_symptomatic,is_masked,from_occupancy,to_occupancy,to_capacity
60,2,1,household,2,household,normal,19,1,False,False,False,2,3,-1
60,9,3,household,5,household,normal,18,0,False,False,False,3,3,-1
60,11,4,household,6,household,normal,23,0,False,False,False,1,3,-1
60,24,9,household,12,household,normal,8,1,False,False,False,4,5,-1
60,30,11,household,14,household,normal,29,1,False,False,False,6,5,-1
60,37,12,household,17,household,normal,34,0,False,False,False,4,3,-1
60,52,16,household,24,household,normal,62,1,False,False,False,4,7,-1
60,61,20,household,29,household,normal,31,0,False,False,False,5,4,-1
60,69,23,household,33,household,normal,40,0,False,False,False,1,3,-1
60,70,23,household,33,household,normal,25,0,False,False,False,0,4,-1
60,71,24,household,34,household,normal,58,1,False,False,False,6,3,-1
60,74,24,household,35,household,normal,26,1,False,False,False,5,4,-1
60,77,25,household,37,household,normal,54,0,False,False,False,3,5,-1
60,80,25,household,38,household,normal,56,1,False,False,False,2,6,-1
60,86,28,household,41,household,normal,59,0,False,False,False,2,3,-1
60,88,28,household,42,household,normal,26,0,False,False,False,1,3,-1
60,94,31,household,45,household,normal,31,0,False,False,False,2,5,-1
60,104,35,household,49,household,normal,50,0,False,False,False,3,3,-1
60,103,35,household,49,household,normal,69,0,False,False,False,2,4,-1
60,122,40,household,56,household,normal,62,0,False,False,False,4,5,-1
60,125,40,household,58,household,normal,67,1,False,False,False,3,3,-1
60,142,45,household,72,household,normal,0,1,False,False,False,4,7,-1
60,145,46,household,75,household,normal,27,0,False,False,False,1,3,-1
60,148,48,household,78,household,normal,43,1,False,False,False,1,5,-1
60,150,49,household,80,household,normal,47,0,False,False,False,3,3,-1
60,161,52,household,89,household,normal,31,1,False,False,False,1,3,-1
60,160,51,household,89,household,normal,55,1,False,False,False,3,4,-1
60,169,54,household,91,household,normal,41,1,False,False,False,3,3,-1
60,167,53,household,91,household,normal,57,0,False,False,False,5,4,-1
60,168,53,household,91,household,normal,34,1,False,False,False,4,5,-1
60,176,55,household,93,household,normal,28,1,False,False,False,4,6,-1
60,143,45,household,45,household,lockdown,9,0,False,False,False,4,4,-1
60,89,29,household,29,household,lockdown,37,0,False,False,False,4,4,-1
60,67,22,household,2,facility,normal,62,1,False,False,False,1,1,-1
60,163,53,household,2,facility,normal,31,1,False,False,False,3,2,-1
60,95,31,household,31,household,lockdown,30,1,False,False,False,2,2,-1
60,111,37,household,37,household,lockdown,75,0,False,False,False,5,5,-1
60,45,14,household,14,household,lockdown,76,0,False,False,False,5,5,-1
60,130,42,household,42,household,lockdown,18,1,False,False,False,3,3,-1
60,85,27,household,27,household,lockdown,25,1,False,False,False,3,3,-1
60,54,17,household,17,household,lockdown,9,0,False,False,False,3,3,-1
60,44,14,household,14,household,lockdown,11,1,False,False,False,5,5,-1
60,19,8,household,8,household,lockdown,71,0,False,False,False,2,2,-1
60,101,34,household,34,household,lockdown,18,0,False,False,False,3,3,-1
60,23,9,household,9,household,lockdown,20,1,False,False,False,4,4,-1
60,120,39,household,39,household,lockdown,36,1,False,False,False,5,5,-1
60,155,50,household,50,household,lockdown,75,1,False,False,False,5,5,-1
60,108,37,household,37,household,lockdown,49,0,False,False,False,5,5,-1
60,39,12,household,12,household,lockdown,30,0,False,False,False,4,4,-1
60,17,7,household,7,household,lockdown,20,1,False,False,False,3,3,-1
60,75,24,household,24,household,lockdown,45,0,False,False,False,5,5,-1
60,25,9,household,4,facility,normal,18,0,False,False,False,3,1,-1
60,21,9,household,9,household,lockdown,67,0,False,False,False,3,3,-1
60,93,30,household,30,household,lockdown,75,1,False,False,False,2,2,-1
60,66,21,household,10,facility,normal,15,1,False,False,False,1,1,-1
60,154,50,household,50,household,lockdown,23,0,False,False,False,5,5,-1
60,137,44,household,44,household,lockdown,10,0,False,False,False,6,6,-1
60,33,11,household,11,household,lockdown,3,0,False,False,False,6,6,-1
