infected_person_id,infector_id,location_id,variant,timestep
4,137,25,Omicron,72000
34,137,25,Omicron,72000
89,115,36,Delta,71760
144,11,25,Delta,71820
153,16,18,Omicron,71700
16,32,3,Delta,71880
47,4,25,Delta,71760
64,27,14,Omicron,71760
66,162,14,Omicron,71580
67,3,30,Omicron,71700
79,3,15,Omicron,61560
80,166,10,Delta,71820
82,112,2,Delta,71820
88,66,14,Delta,71580
133,118,14,Omicron,71880
148,127,2,Omicron,71580
15,38,30,Omicron,71940
18,27,14,Omicron,71520
19,4,25,Delta,71760
20,115,13,Delta,71520
25,171,3,Omicron,71580
39,137,12,Delta,71580
45,27,14,Omicron,71760
50,18,14,Delta,71520
51,130,14,Delta,71640
58,164,13,Omicron,71520
59,42,10,Omicron,71820
60,111,21,Delta,71940
65,21,13,Delta,71700
68,20,14,Delta,71760
74,170,16,Omicron,71940
75,112,2,Delta,71820
81,129,13,Omicron,71460
83,114,13,Omicron,71880
86,128,4,Delta,71880
92,119,10,Delta,71580
117,76,12,Omicron,71760
127,21,2,Delta,71580
128,137,12,Delta,71640
135,138,10,Delta,71760
143,127,2,Omicron,71580
152,113,10,Omicron,71760
155,127,20,Delta,71880
161,10,16,Omicron,71520
168,164,13,Omicron,71520
41,119,10,Delta,71640
52,66,16,Delta,71700
61,81,13,Omicron,71700
77,130,14,Delta,71640
94,122,14,Delta,71940
101,93,14,Omicron,71820
102,171,3,Omicron,71580
108,112,14,Delta,71700
121,21,13,Delta,71820
125,109,32,Omicron,71580
136,27,3,Delta,72000
150,3,30,Omicron,71640
157,73,2,Omicron,71640
9,124,17,Delta,71820
12,175,17,Omicron,71760
13,18,20,Delta,71640
17,112,20,Delta,71760
31,115,22,Delta,71580
38,17,16,Omicron,71640
46,21,13,Delta,71820
63,62,16,Omicron,71760
70,124,4,Delta,71760
76,138,30,Delta,71580
85,62,30,Omicron,71880
96,112,20,Delta,71760
99,81,13,Omicron,71700
115,164,13,Omicron,71520
147,130,14,Delta,71640
149,119,10,Delta,71580
154,115,13,Delta,71520
166,113,10,Omicron,71760
171,126,3,Delta,71640
174,130,36,Delta,71820
1,112,2,Delta,71820
2,76,20,Delta,71820
7,154,13,Delta,71760
10,137,18,Delta,61500
23,119,10,Delta,71700
26,162,14,Omicron,71580
35,96,6,Omicron,71640
40,119,11,Delta,71940
55,112,2,Delta,71820
62,66,16,Delta,71700
71,49,12,Delta,72000
73,18,12,Delta,71700
78,77,37,Delta,71880
91,27,14,Omicron,71520
93,49,30,Delta,62040
95,88,16,Delta,71880
98,124,4,Delta,71760
104,3,30,Omicron,71640
105,127,2,Omicron,71580
106,76,22,Omicron,71700
107,124,4,Delta,71760
113,27,14,Omicron,71520
116,76,20,Omicron,71820
119,27,11,Omicron,71820
122,130,14,Delta,71640
126,171,3,Omicron,71640
131,42,22,Omicron,71640
134,76,20,Omicron,71820
137,128,12,Omicron,71640
145,10,36,Omicron,71640
151,128,4,Omicron,71700
158,21,13,Delta,71820
165,87,4,Omicron,71520
167,18,12,Delta,71820
169,291,91,Delta,71820
173,128,12,Omicron,71640
8,164,13,Omicron,71520
14,130,14,Delta,71640
21,127,2,Omicron,71580
29,171,3,Omicron,71640
30,128,12,Omicron,71640
42,112,14,Delta,71700
43,129,35,Delta,71880
44,62,16,Omicron,71700
48,4,11,Delta,71640
54,111,21,Delta,71940
56,87,2,Omicron,71700
57,137,12,Delta,71640
69,127,2,Omicron,71580
87,112,2,Delta,71820
90,166,30,Delta,71940
97,162,36,Delta,71880
110,18,12,Delta,71700
114,149,2,Delta,72000
120,21,13,Delta,71700
130,18,14,Delta,71400
139,166,10,Delta,71820
146,49,12,Delta,72000
156,112,14,Delta,71700
160,32,22,Delta,71760
162,18,14,Delta,71520
170,128,4,Omicron,71700
172,17,16,Omicron,71640
175,124,17,Delta,71820
3,138,10,Delta,71760
5,130,14,Delta,71640
27,20,14,Delta,71760
33,130,14,Delta,71640
36,115,13,Delta,71520
53,3,30,Omicron,71640
109,115,32,Delta,71880
112,27,14,Omicron,71520
124,162,4,Omicron,71760
138,76,30,Omicron,71580
140,171,13,Delta,61620
141,18,10,Delta,71880
142,90,30,Omicron,71760
159,160,8,Delta,72000
164,39,14,Delta,72000
22,11,25,Delta,71820
24,21,13,Delta,71700
28,21,13,Delta,71820
72,66,16,Delta,71700
84,27,11,Omicron,71820
100,17,30,Delta,61980
129,18,20,Delta,71640
132,21,13,Delta,71820
6,73,2,Omicron,71640
32,76,22,Omicron,71700
37,122,14,Delta,71940
49,66,16,Delta,71700
103,124,4,Delta,71760
118,14,14,Delta,71880
123,126,3,Delta,71700
176,73,12,Delta,71940
11,21,2,Delta,71580
111,126,3,Delta,71700
163,23,10,Delta,61740
177,120,55,Delta,62640
178,122,56,Delta,62220
