timestep,location_id,location_type,capacity,occupancy,utilization_rate,infectious_count,symptomatic_count,masked_count,vaccinated_count,avg_age,male_count,female_count
60,1,household,-1,1,1.0,0,0,0,0,27.0,0,0
60,2,household,-1,2,2.0,0,0,0,0,28.5,0,0
60,4,household,-1,1,1.0,0,0,0,0,32.0,0,0
60,5,household,-1,1,1.0,0,0,0,0,18.0,0,0
60,6,household,-1,1,1.0,0,0,0,0,23.0,0,0
60,7,household,-1,1,1.0,1,0,0,0,60.0,0,0
60,8,household,-1,1,1.0,0,0,0,0,18.0,0,0
60,9,household,-1,3,3.0,0,0,0,0,16.666666666666668,0,0
60,10,household,-1,2,2.0,0,0,0,0,37.0,0,0
60,11,household,-1,1,1.0,0,0,0,0,29.0,0,0
60,12,household,-1,2,2.0,0,0,0,0,29.0,0,0
60,13,household,-1,1,1.0,0,0,0,0,69.0,0,0
60,14,household,-1,2,2.0,0,0,0,0,47.0,0,0
60,15,household,-1,2,2.0,0,0,0,0,58.5,0,0
60,16,household,-1,2,2.0,0,0,0,0,40.0,0,0
60,17,household,-1,2,2.0,0,0,0,0,51.0,0,0
60,18,household,-1,1,1.0,0,0,0,0,18.0,0,0
60,20,household,-1,2,2.0,0,0,0,0,29.0,0,0
60,22,household,-1,1,1.0,0,0,0,0,62.0,0,0
60,24,household,-1,3,3.0,0,0,0,0,24.666666666666668,0,0
60,25,household,-1,2,2.0,0,0,0,0,18.0,0,0
60,26,household,-1,2,2.0,0,0,0,0,58.0,0,0
60,27,household,-1,1,1.0,0,0,0,0,21.0,0,0
60,29,household,-1,3,3.0,0,0,0,0,36.666666666666664,0,0
60,30,household,-1,2,2.0,0,0,0,0,58.0,0,0
60,31,household,-1,1,1.0,0,0,0,0,14.0,0,0
60,32,household,-1,2,2.0,0,0,0,0,55.5,0,0
60,33,household,-1,2,2.0,0,0,0,0,32.5,0,0
60,34,household,-1,2,2.0,0,0,0,0,38.0,0,0
60,35,household,-1,2,2.0,0,0,0,0,31.0,0,0
60,36,household,-1,1,1.0,0,0,0,0,28.0,0,0
60,37,household,-1,3,3.0,0,0,0,0,60.666666666666664,0,0
60,38,household,-1,2,2.0,0,0,0,0,49.5,0,0
60,39,household,-1,2,2.0,0,0,0,0,27.0,0,0
60,40,household,-1,2,2.0,0,0,0,0,20.5,0,0
60,41,household,-1,1,1.0,0,0,0,0,59.0,0,0
60,42,household,-1,2,2.0,0,0,0,0,32.0,0,0
60,43,household,-1,2,2.0,0,0,0,0,58.5,0,0
60,44,household,-1,4,4.0,0,0,0,0,36.75,0,0
60,45,household,-1,3,3.0,0,0,0,0,60.0,0,0
60,47,household,-1,1,1.0,0,0,0,0,70.0,0,0
60,49,household,-1,2,2.0,0,0,0,0,59.5,0,0
60,50,household,-1,4,4.0,0,0,0,0,50.75,0,0
60,51,household,-1,1,1.0,0,0,0,0,81.0,0,0
